Zone,Milieu,Sexe,Titre de l'indicateur,Valeurs de l'indicateur
Béni Mellal-Khénifra,Ensemble,Ensemble,Population municipale,2510799.0
Béni Mellal-Khénifra,Ensemble,Féminin,Population municipale,1283936.0
Béni Mellal-Khénifra,Urbain,Ensemble,Population municipale,1274561.0
Béni Mellal-Khénifra,Rural,Ensemble,Population municipale,1236238.0
Béni Mellal-Khénifra,Ensemble,Masculin,Population municipale,1226863.0
Béni Mellal-Khénifra,Urbain,Féminin,Population municipale,664334.0
Béni Mellal-Khénifra,Rural,Féminin,Population municipale,619602.0
Béni Mellal-Khénifra,Rural,Masculin,Population municipale,616636.0
Béni Mellal-Khénifra,Urbain,Masculin,Population municipale,610227.0
